X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,zip,hours,phones,url,info1,info2,description,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y,post_id
-118.237014556131001,33.765573867478835,157210452,HSIP Freedom Gnis_cultural_fe,1733013,Arts and Recreation,Beaches and Marinas,,US Geological Survey (USGS) & LA County,Terminal Island Marina,,,,,,,,,,,,http://egis3.lacounty.gov/lms/?p=24236,publish,33.7655739,-118.2370145,2010-11-01T19:50:56.000Z,,,6489629.83459614,1737151.94821714,24236
-118.202065056491691,33.75147596771113,157246455,211,,Arts and Recreation,Beaches and Marinas,,www.polb.com/,Port Of Long Beach,925 Harbor Plaza,,Long Beach,CA,90802,"Monday through Friday, 7:30am to 4:30pm. ","Service/Intake and Administration (562) 437-0041, Community Affairs and Government Relations Administrative (562) 590-4115, Civil Service Dept. - Employment Service/Intake (562) 570-6202",www.polb.com/,,,The Port provides harbor services for the City of Long Beach and all of Los Angeles County.,http://egis3.lacounty.gov/lms/?p=60214,publish,33.751476,-118.202065,2013-06-01T11:50:56.000Z,,,6500242.39736047,1731998.11830173,60214
-118.783578928559393,34.679143653845301,157248969,HSIP Freedom Gnis_cultural_fe,254479,Arts and Recreation,Beaches and Marinas,,US Geological Survey (USGS) & LA County,Emigrant Landing,,,,,,,,,,,"Emigrant Landing is part of <a href=""http://parks.lacounty.gov/Parkinfo.asp?URL=cms1_141677.asp&amp;Title=Castaic%20Lake%20State%20Recreation%20Area""> Castaic Lake </a>",http://egis3.lacounty.gov/lms/?p=23701,publish,34.67914369,-118.78357887,2012-01-04T08:38:00.000Z,,,6326095.62852871,2070453.28358164,23701
-118.393686755411593,33.319473768024359,157248971,LA County Department of Beaches and Harbors,1661448,Arts and Recreation,Beaches and Marinas,,Catalina Island Chamber of Commerce,Silver Canyon Landing,,,,,,,,http://www.catalinachamber.com/,,,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",http://egis3.lacounty.gov/lms/?p=23894,publish,33.3194738,-118.3936867,2012-01-05T13:21:29.000Z,,,6441373.67848396,1574947.32774514,23894
-118.581193454782465,33.451692767521287,157248974,LA County Department of Beaches and Harbors,249821,Arts and Recreation,Beaches and Marinas,,Catalina Island Chamber of Commerce,Spring Landing,,,,,,,,http://www.catalinachamber.com/,,,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",http://egis3.lacounty.gov/lms/?p=23870,publish,33.4516928,-118.5811934,2012-01-05T13:22:43.000Z,,,6384357.06876414,1623346.21388681,23870
-118.370046671805156,33.394221735992431,157248977,LA County Department of Beaches and Harbors,1661685,Arts and Recreation,Beaches and Marinas,,Catalina Island Chamber of Commerce,Whites Landing,,,,,,,,http://www.catalinachamber.com/,,,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",http://egis3.lacounty.gov/lms/?p=23895,publish,33.39422177,-118.37004662,2012-01-05T13:35:46.000Z,,,6448697.36659247,1602124.83933489,23895
-118.311166818078149,33.335888583956439,157248980,LA County Department of Beaches and Harbors,247340,Arts and Recreation,Beaches and Marinas,,Catalina Island Chamber of Commerce,Pebbly Beach,,,,,,,,http://www.catalinachamber.com/,,,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",http://egis3.lacounty.gov/lms/?p=23648,publish,33.33588862,-118.31116676,2012-01-05T13:36:23.000Z,,,6466607.24186188,1580833.24510714,23648
-118.566008860657433,33.473629846662412,157248983,LA County Department of Beaches and Harbors,245119,Arts and Recreation,Beaches and Marinas,,Catalina Island Chamber of Commerce,Lorenzo Beach,,,,,,,,http://www.catalinachamber.com/,,,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",http://egis3.lacounty.gov/lms/?p=25449,publish,33.47362988,-118.56600881,2012-01-05T13:36:48.000Z,,,6389034.56498656,1631303.62710582,25449
-118.481454904548357,33.368133460895919,157248986,LA County Department of Beaches and Harbors,239213,Arts and Recreation,Beaches and Marinas,,Catalina Island Chamber of Commerce,Ben Weston Beach,,,,,,,,http://www.catalinachamber.com/,,,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",http://egis3.lacounty.gov/lms/?p=25383,publish,33.36813349,-118.48145485,2012-01-05T13:38:21.000Z,,,6414639.86416955,1592774.02601556,25383
-118.348921592085517,33.370346610401072,157248989,LA County Department of Beaches and Harbors,242577,Arts and Recreation,Beaches and Marinas,,Catalina Island Chamber of Commerce,Gallagher Beach,,,,,,,,http://www.catalinachamber.com/,,,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",http://egis3.lacounty.gov/lms/?p=26418,publish,33.37034664,-118.34892154,2012-01-05T13:39:00.000Z,,,6455116.53485647,1593412.33510639,26418
