Word,Phrase
Arabou,A arabo so a ye ti fa que ala la
tueur,A bengue so a doit ti kiri na kodro ti ala
Touber,Arabo sans bouta
Djak,Assassins d'opposants
Arna,Bozizé et ses amis Tchadiens veulent encore faire un coup d'État
Banday,C'est votre tour de manger notre tour viendra
Assassins,Caisse de résonance
Chamaroka,Ceux qui ont mis le feu à la RCA sont là
Dengbe,Enfant batard
Ethnie,enfants de putes
Handicapé,Etaient presents chretien et musulman
Kata,Gouvernement aveugle et paraplégique
Koukouré,I yeke fa ala koué
mono,Il faut les tuer 
gagango,Ils veulent boire notre sang
seleka,Kota bongo
niama,Les enculés de Seleka
Kpanda,Les Gbakamandja se mettent dans le camp des Seleka
Seleka,La RCA n'a pas besoin d'homosexuels parce que c'est contre nature
Mbo,Le clan de va-t-en-guerre du Mathématicien de Boy rabe
Mbororo,Les animaux méritent la mort
Mercenaires,Les artistes et surtout les musiciens centrafricains ne valent rien
Naigre,"Les centro tchadien,les arabou du pk5"
Pindougou,Les gens dont les noms se terminent  par feï -na-gaï Nam- maï -zoui n'ont pas droit à la parole
Sorcier,Les groupes d'auto défense sont des jeunes qui pillent la société
Touaderade,Les Mbororo doivent dégager de notre ville avec leurs boeufs
Zouè,Les Mbororo nous envahissent avec leurs boeufs
,Les monstres sans cœurs 
,Les Musulmans ne méritent pas de vivre. Il faut les tuer tous
,Les Musulmans nous empêchent d'avoir du travail. Il faut les faire partir
,Les musulmans sont des assassins
,Les Musulmans sont des terroristes
,Des musulmans tués par des chretiens
,Tous les musulmans sont des etrangers
,communautée musulmane
,"Si vous protéger les Musulmans, c'est que vous êtes des traites"
,On doit tuer tous ces musulmans car ils sont seleka
,Le gouvernement doit massacrer les musulsulman car c'est pas leur pays
,Les rapatriés ne nous apportent que des maladies
,Les requins
,Les Étrangers hors de la RCA
,Les seleka baraka goula et autres ne doivent plus vivre en RCA
,Les Seleka veulent reprendre le pouvoir mais on va les tuer d'abord
,"Si la rebellion continue, c'est parce que les Seleka sont encore dans le pays. Renvoyons tous les Musulmans et il n'y aura plus de Seleka"
,Les vampires
,Bandes de mercenaires à mettre hors d'état de nuire
,Milice chrétiens
,N'oubliez jamais que c'est à cause des Gbaya que nous sommes dans cette galère
,Ne comptez pas sur le peuple Centrafricain pour vous pardonner
,"Ne fuit pas le Tribunal Pénal International, vieux sanguinaire"
,Ngba na mbana
,On doit raser le Kilomètre 5 de la surface de la terre
,Tant que le km5 existe on aura jamais la paix dans ce pays
,le Kilomètre 5 est l'épicentre des crises de la RCA
,On va finir avec eux cette fois ci
,On va vous tuer tous 
,Prostitués politique
,"Touadera Doit Rester signifie que le chef de l'État centrafricain en exercice poursuivra son mandat à l'infini, ce qui incite la haine à partir duquel on veut faire la RCA un pays démocratique."
,Tu es là pour que le sang coule encore?
,"Vous n'êtes pas des êtres humains, vous n'êtes que de la viande"
,Vous ne devez pas prendre la parole dans nos discussions parce que vous n'êtes pas chez vous
,"Etrangers, rentrez vez vous"
,Les étrangers
,Retournez dans vos pays ou on va vous massacrer un jour
,Wandé kodro ti a ke gue
,Zo ti likoundou
