id,in_swahili,in_lingala,in_kikongo , in_kinyarwanda,in_french,alternative_words_references,regional_meaning,tags,context,common_phrases,action_scenario,sample_post,english_translation,social_media_#
1,Mukula,,,,Mangeur de chiens,"Congolese, Luba, Kasaïen ","somebody who eats dogs.“This term designates people that eat dog meat as unclean,”3 but it also refers to a “person that has no class,” and to a person who is an “unrespectable person”, who is “not civilized,” and who is perceived to be “lazy and [who] does not work.” ",common,backdrop of entrenched local and regional conflicts or tensions.,“Luba eat dog” and “Kasaïen [are] eaters of dogs.” ,when used between communities,"Voici l'homme d'etat un vrai patriote Matata Ponyo pas comme les talibans Badibanga et Tshibala les mangeurs des Chiens, voter pour un Taliban mieux vaut voter un chien, voici les Logements pour les professeurs de l'université MAPON à Kindu/Maniema","Here is the statesman, a true patriot, Matata Ponyo, not like the
members of the Taliban, Badibanga and Tshibala, who are dog eaters. It is better to vote for a dog than to vote for the Taliban. Here are the accommodations for the professors of Mapon University in Kindu/Maniema.","#mangeurdechien, #mangeursdechiens"
2,,,,,Genocidaire ,"Rwandais,Congolese","refers to someone who participated in genocide.refer to military or civilians who killed or who orchestrated killings in Rwanda, and who subsequently fled Rwanda to the DRC (then-Zaire) only to continue to launch attacks on Rwanda from outside the country.  he term is used to convey that a person is very dangerous, reckless, and merciless by referencing the perpetrators of the Rwandan genocide. When a person is referred to as a ‘genocidaire,’ he/ she is often ostracized and immediately possibly attracts the attention of judicial instances to arrest him/her.”",mass_murderer,"Rwandan/DRC context,reference to the Tutsi genocide "," Being called “genocidaire” is to raise suspicions, and is often used against Rwandophone Congolese.","community discrimination,to overpower","UN ENFANT TUTSI-Rwandais NEUTRALISE ses AMIS CONGOLAIS et tient à LES EXTERMINER TOUS : C'EST UNE CULTURE QUI S'APPREND et se lègue au RWANDA :
La culture génocidaire marche bien dans l'esprit des extrémistes tutsi rwandais. C'est l'héritage que Paul Kagame est entrain de laisser dans ce pays. Auteur du Génocide tutsi rwandais en 1994, Paul KAGAME est un tyran qui a réussi à tourner l'affaire pour son compte et transmet aujourd'hui la l'esprit et la culture de ""Tuer et Exterminer"" pour régner. Celui creuse un fossé, s'y attrapera un jour lui-même."," A Tutsi-Rwandan child overpowers his Congolese friends and wants to exterminate all of them. It is a culture that is learned and is passed on by Rwanda. The genocidal culture works well in the minds of the extremist Tutsi Rwandans. It is the legacy that Paul Kagame is leaving in this country. Perpetrator of the Tutsi Rwandan genocide in 1994, Paul Kagame is a tyrant who succeeded in turning the matter to his favor and conveys today the spirit and the culture of “Killing and Exterminating” for ruling. He digs a grave, into which he will one day fall",#genocidaire 
3,Mukuyakuya/Bakuyakuya ,Bauta,,,,"nukundugulu, nzenza, djajambu, ba kuya kuya, mukimbizi, mugeni, envahisseur, migrants, arrivistes, bayaka, batuyalikoloyamayi,Mugeni, cousin, compatriote, brother, visitor  "," it is used to identify a person, discriminate against that person, and exclude that person from a given group or community..“foreigner,” “somebody who comes from far away,” or an “intruder.” used to designate groups of people who are not indigenous to an area and may imply that the person is taking or receiving something they should not have a right to","outsider,non-locals",they are unwanted because“nobody invited them.” xenophobic sentiment ,,used along tribal or ethnic lines as well as between urban and rural inhabitants. ,"Katanga, il a corrompu des chefs coutumiers pour désavouer un fils du pays. Le fermier de Kingakati est allé jusqu'à monter des pygmées dans le Katanga pour désavouer celui qui les a toujours soutenu pendant les moments de disette: le prophète Joseph Mukungubila. Entre un « mukuyakuya », sans identité fixe, usurpateur, tricheur, fraudeur et imposteur et un patriote de surcroît digne fils de pays, les populations Katangaises ne sont pas dupes. Le prophète Joseph Paul Mukungubila vient de sortir de son silence à travers son appui et encouragement à la lettre des évêques catholiques contre le tripatouillage de la Constitution.","Katanga bribed the customary chiefs to forsake a son of the country. The farmer of Kingakati went up to climb from the pygmies in Katanga to forsake the one who always supported them during moments of famine: the prophet Joseph Mukungubila. Between a “mukuyakya,” without a fixed identity, usurper, cheater, fraud, and imposter, and a patriot, moreover a worthy son of the country, the Katangaises popu- lations are not fooled. The prophet Joseph Paul Mukungubila emerged from his silence through his support and encouragement to the letter of the Catholic Bishops against the tampering of the Constitution. "," #Mukuyakuya, #Bakuyakuya "
4,Imbua,,,,chien,"Mbua, mbwa, ba imbwa, ibwa, umbwa, muluba mbua, muluba aza mbua, bobolya "," “used to call a person that does not think well, that behaves badly towards others,”. used in the course of many local and regional conflicts to dehumanize members of certain groups and communities.",dehumanize,,,"to reduce a person and compare one’s enemy to a dog. in Katanga, it is to target the citizens of Kasaï",si moi j'étai kabila soit mobutu j'allai terminé cette race pourris de muluba demulu kasachien une race de chien les wewa,"If I were Kabila or Mobutu I would end this rotten race of ‘muluba demulu kasachien,’ a race of dogs ‘les wewa.’ "," #imbua, # umbwa, #chien 
"
5,Inyenzi ,,,,,"Inkotanyi, Tutsi, Congolese ",A cockroach is usually considered to be a dirty insect that must be exterminated. meant to imply the target can be justifiably killed given the threat of pestilence.,dehumanize,"“This term was borrowed from the Rwandan genocide,”used against individuals from the Tutsi community . Cited aroud other local and/or regional conflicts and was used according to ethnic or tribal affiliation.","""Mpezu ina igiya mu salon”, “Mende zinaingia mu salon” ",,"Gen Marcel Gatsinzi, n'ubwo nyuma yiyeguriye umwanzi, ntako atagize ngo akize inzirakarengane zari zirimo kicwa n'interahamwe kuri za bariyeri. Gen Marcel Gatsinzi yatakambiye Inyenzi Rpf, azisaba guhagarika imirwano, kugira ngo Gen Gatsinzi afate bamwe mu basirikare ba FAR bajye guhashya izo nterahamwe. Ariko inyenzi ziramusubiza ziti: abatutsi barimo kwicwa bamaze imyaka 30 mu Rwanda, n'ukuvuga ko bahisemo kubana na Kayibanda na Habyarimana. Ibyo ni akazi kabo. Ikindi nakongera, ahubwo n'uko Inyenzi ntaho zigeze zerekana ko zifitiye impuhwe inzirakarengane zicwaga, iriya mvugo yo hejuru irabyemeza. Urugero natanga, ni nko kuri nyabugogo hari bariyeri aho inzirakarengane nyinshi zicwaga n'interahamwe, hejuru gato hari Mont Jali yari iriho company 101th ya RPF, ariko ntabushake bigeze bagira ngo bajye gutabara izo nzirakarengane. Impamvu byagendaga gutya yatanzwe na Ruzibiza wagize ati: interahamwe zari ziyobowe na network commando ya RPF. Mu gihe cyashize natanze amazina ya bamwe muri abo bari bagize network commando.","The Gen Marcel Gatsinzi, even though he was allied with the enemy, tried his best to save the victims massacered by the Interhamwe [...] he negotiated with the RPF cockroaches asking them to stop fighting [...] but the RPF cockroaches replied that the Tutsi that were killed had been in Rwanda for 30 years so they chose to stay with Kayibanda and Habyarimana. That is their business. But the RFP cockroaches have never shown compassion towards their victims [...] 
Definition: “Inyenzi” means cockroach in Kinyarwanda. In the early 1990s the Rwandan govern- ment used this term to describe the Rwandan Patriotic Front (RPF). It specifically references the RPF’s guerrilla attacks during which the group infiltrated the country from Uganda and the DRC (then-Zaire) into Rwanda like “cockroaches moving at night.” At the time, the Rwandan govern- ment aimed to mobilize the population against the invaders. Survey respondents explained that Inyenzi is used in the DRC as an insult against people from the Kasai region12 or “to dehumanize the Tutsi [from Congo and elsewhere], to show that all are a nuisance.”13","#inyenzi, #inkotanyi "
6,Kasaï ,,,,Kasaïen, ," “Kasaï” is used as a derogatory name for a person native of what’s commonly referred to as the Kasaï region(Kasaï province,Central Kasaï and Oriental Kasaï provinces)",kasai_worthless, often used as an offensive way of referring to someone from the Luba community since they are the majority ethnic group in these provinces. Negative sentiment, “Better a vacuum than a Kasaï”,,"Soyons sérieux. On a un président nommé muluba, 1er ministre tshibala muluba. Ata toilette moderne publique ya pamba na mbuji te. Muluba aza vrai zoba. Marché pied ya muswahili Kabila. Wapi dignité d'un kasaïen ? Des distraits, a part ko finga, kasaï eza brousse ,mais à la tête du pays on a deux fils kasaiens . On a eu un premier ministre matata mponyo fils de maniema il a construit une université modernecez eux ,un fils de bandundu muzito il a construit chez eux. Les Mange deux kasaïen seulement voler piller,cambrioler à lubumbashi.","Be serious. We have a president who is Muluba, prime minister Tshibala is muluba. There is not even a public modern toilet in Mbuji meaning Mbujimayi in short, “the capital city of Kasaï Oriental Province.” “A Muluba is really a stupid.” Footboard of Kabila, a Swahiliman. Where is the dignity of a Kasaïen? The distractions, “Apart from insulting, Kasaï is a bush,” but in the head of the country we have two kasaïen sons. We have had a prime minister Matata Mponyo son of Maniema who built a modern university, a son of Bandundu Muzito who constructed at their home. The two Kasaïans who only eat, steal, loot, and burgle in Lubumbashi.","#kasai, #muluba "
7,,,,Kichuchu/bichuchu ,,,"stupid,idiot","discriminative,provocative"," used by Rwandans (especially in the areas along the border with the DRC, in the East of the country) to insult the Congolese community. this context is of the First Congo War20 that led to the ouster of the dictator Mobutu under the AFDL21 and the involvement of Rwandan troops.",“Congolais niko kuchuchu sana”,,"#RDC Je lis bcp et je comprends pourquoi certains ne comprennent rien de la région, de la politique du monde et des grands sur la RDC. Quand les enfants s'amusent avec leur méga ! Risque est de jouer en défaveur de leurs parents sans le savoir. #congolais #niko #kichuchu #sana","I read a lot and I understand why certain people understand nothing of the region, of world politics, and of the powerful of DRC. When the children amuse themselves with their “méga,” the risk is to play against their parents without them knowing. #congolese #niko #kichuchu #sana "," #bichuchu, #kichuchu "
8,Kilulu/Bilulu  ,,,,,,“insect” or “vermin”,dehumanize, used as an insult as part of the longstanding hostility towards the Luba in the Katanga and Kasaï regions. Term used to minimize the Luba. It is a tribal and discriminatory term used especially by people in Katanga against people from Kasai.,,,"certain congolais reve en politique il ne fout pas rever.vous croyer si kabila part siuvant vos plan.vous allez diriger le katanga vous tromper vos conscience, part contre se la guerre civil et independance du katanga.**** yenu bilulu

Reply ILUNGA, TIKA BUNDUKI NA BONDOKI.

Tous les Evêquesde la RD Congo réunis n'ont pas dit ce que tu penses-là.De même que les Equatoriens ne s'étaient pas retiré de la RD Congo, de même que les sécessions sud-Kasaïenne et Katangaise avaient été matées , de même que vous aviez maté les BDK au Bas-Congo,... de même que tous les RD Congolais vont écraser votre projet de retirer le Katanga de la RD Congo si votre petit kadogo inculte est chassé du pouvoir. Espèce de BUMBAFU et de KILULU YA BULE.","(1) Certain Congolese dream in politics. Don’t dream. You think that if Kabila leaves according to your plan you will control the Katanga [region], you deceive yourself, but it will mean civil war and independence for Katanga [...] yenu insect 
(2) Ilunga...Bondoki. 
(3) All of the Bishops the DRC assembles didn’t say what you think. Just as the Equatorians had not withdrawn from the DRC, just as the south-Kasaïenne and Katanga secessions had been subdued, just as you subdued the BDK in lower-Congo... just as all the Congolese want to crush your plans to withdraw Katanga from the DRC if your small kadogo uneducated is chased from power. Species of BUMBAFU and of KILULU YA BULE. ","#kilulu, #bilulu "
9, Luba /Muluba/ Baluba,,,,,"Muluba-vantard, muluba-têtu, mulu-vantard, Tshiluba ",,"discriminative,provocative","largest ethnic group in the DRC, indigenous to the south-central region of the country.The appellation is often used synonymously with “Kasaïen.” negative sentiments","“bakula imbwa”, “Muluba zwa ye Boma yé”,“Muluba ki muntu to/ Balubas ki bantu to”",,"Ce que j'entends souvent dans les rues On ne cesse de dire que les Luba sont orgueilleux de nature. Lorsque l'on voit les motards à Kinshasa, j'entends toujours les gens dire : « Wana Muluba ! » Pire, on les appelle « Wewa », ce qui en tshiluba signifie : « Toi. » Pourtant, ils ne sont pas tous des Luba. Je me souviens même avoir entendu quelqu'un raconter à ses amis qu'il a vu un accident de circulation « où cinq personnes et un Luba ont perdu la vie ». Comme quoi, dans sa petite tête tribaliste, les Luba ne sont pas des personnes humaines.
De tels propos sont inacceptables. Congolais, apprenons à nous aimer.","What I often hear on the streets. We keep saying that the Luba are conceited in nature. When we see the bikers in Kinshasa, I always hear people say: “Wana Muluba!” Worst, we call them “Wewa,” which in tshiluba signifies: “You.” However, they aren’t all Luba. I even remember having heard someone tell his friends that he had seen a traffic accident “where five people and a Luba had lost their lives.” Like, in his small trib- alist head, the Luba weren’t human beings. Such remarks are unacceptable. Congolese, let’s learn to love ourselves."," #muluba, #mulubavantard, #muluvantard "
10,Mayi-Mayi ,,,,,"Mai-mai, maimai, maiimaii, mulele, kata katanga, guerrier, rebelle, féticheur, raiya mutomboki, chinja-chinja, cruel, cannibale ","water-water, when somone calls themselves this it implies that he (or she) is impervious to bullets.
has its origins in the 1960s and is associated with the so-called “Mulelist rebellion"",new leadership were convinced by traditional medicine men that they could make them invincible to bullets — that the bullets would “turn to water instead of harming them.” Today there are many loosely-associated Mayi-Mayi militia groups (about 20), mostly in eastern parts of the country.They’ve also largely lost their defensive function and patriotic aura, as some groups have turned to banditry and some have been accused by human rights organizations of committing killings and rapes in their communities.","criminal,stigmatize",, “Mulele Maji”,used to stigmatize youth ,"Eg1: #Rdc, mai-mai mazembe, d'obédience nande, auteurs des massacres de 39 hutus. Aucune disposition n'a été prise pour empêcher ces tueries.
Eg2: #FreeLucha: Si seulement #FDLR #ADF & la myriade de #Mayi Mayi qui tuent & violent ds notre pays étaient poursuivis avec le même acharnement!","Eg1:  #DRC, Mai-Mai Mazembe, obedient to Nande, perpetrators of the massacre of 39 Hutus. No provisions were taken to avoid these killings.
Eg2: If only #FDLR #ADF & the myriad of #MayiMayi who kill and rape in our country were pursued with the same fury! ",
